Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-06-18,North by Northwest,1959,https://letterboxd.com/cindyshi/film/north-by-northwest/,3.5,,,2018-06-17
2018-06-19,Daguerréotypes,1976,https://letterboxd.com/cindyshi/film/daguerreotypes/,4,,mubi,2018-06-18
2018-06-20,Cinema Paradiso,1988,https://letterboxd.com/cindyshi/film/cinema-paradiso/,4.5,,rio,2018-06-19
2018-06-21,Beast,2017,https://letterboxd.com/cindyshi/film/beast-2017/,2.5,,"cineplex, international village",2018-06-20
2018-06-22,Won't You Be My Neighbor?,2018,https://letterboxd.com/cindyshi/film/wont-you-be-my-neighbor/,3,,"cineplex, fifth ave",2018-06-21
2018-06-23,Jurassic World: Fallen Kingdom,2018,https://letterboxd.com/cindyshi/film/jurassic-world-fallen-kingdom/,3,,"3d, cineplex, marine drive",2018-06-22
2018-06-24,Cléo from 5 to 7,1962,https://letterboxd.com/cindyshi/film/cleo-from-5-to-7/,5,,mubi,2018-06-22
2018-06-24,Fish Tank,2009,https://letterboxd.com/cindyshi/film/fish-tank/,4,,mubi,2018-06-23
2018-06-24,Winter's Bone,2010,https://letterboxd.com/cindyshi/film/winters-bone/,3.5,,netflix,2018-06-23
2018-06-25,Eat Drink Man Woman,1994,https://letterboxd.com/cindyshi/film/eat-drink-man-woman/,5,Yes,,2018-06-24
2018-06-25,Jacquot de Nantes,1991,https://letterboxd.com/cindyshi/film/jacquot-de-nantes/,4.5,,mubi,2018-06-24
2018-06-25,Offside,2006,https://letterboxd.com/cindyshi/film/offside/,4.5,,mubi,2018-06-25
2018-06-26,Room,2015,https://letterboxd.com/cindyshi/film/room-2015/,3,,,2018-06-25
2018-06-27,The Tale,2018,https://letterboxd.com/cindyshi/film/the-tale/,4.5,,,2018-06-26
2018-06-29,Leave No Trace,2018,https://letterboxd.com/cindyshi/film/leave-no-trace/,4,,"viff, international village",2018-06-27
2018-06-29,Summer Interlude,1951,https://letterboxd.com/cindyshi/film/summer-interlude/,3.5,,cinematheque,2018-06-28
2018-06-29,The Band's Visit,2007,https://letterboxd.com/cindyshi/film/the-bands-visit/,4.5,,mubi,2018-06-29
2018-07-01,Hot Summer Nights,2017,https://letterboxd.com/cindyshi/film/hot-summer-nights/,2.5,,,2018-06-30
2018-07-02,The Umbrellas of Cherbourg,1964,https://letterboxd.com/cindyshi/film/the-umbrellas-of-cherbourg/,5,,"itunes, rent",2018-07-01
2018-07-02,Set It Up,2018,https://letterboxd.com/cindyshi/film/set-it-up/,3.5,,netflix,2018-07-01
2018-07-02,Mamma Mia!,2008,https://letterboxd.com/cindyshi/film/mamma-mia/,3,,amazon prime,2018-07-01
2018-07-03,Breathless,1960,https://letterboxd.com/cindyshi/film/breathless/,2,,,2018-07-02
2018-07-03,Mary Shelley,2017,https://letterboxd.com/cindyshi/film/mary-shelley/,1,,,2018-07-02
2018-07-05,Jaws,1975,https://letterboxd.com/cindyshi/film/jaws/,5,,rio,2018-07-04
2018-07-07,Persona,1966,https://letterboxd.com/cindyshi/film/persona/,4.5,,cinematheque,2018-07-06
2018-07-07,Sorry to Bother You,2018,https://letterboxd.com/cindyshi/film/sorry-to-bother-you/,4,,"viff, vancity",2018-07-06
2018-07-09,Stalker,1979,https://letterboxd.com/cindyshi/film/stalker/,3,,rio,2018-07-08
